id,title,handle,body_html,created_at,updated_at,vendor,product_type,variant_id,variant_title,variant_price,variant_sku,variant_position,variant_grams,variant_compare_at_price,variant_requires_shipping,variant_taxable,variant_featured_image,variant_available,variant_created_at,variant_updated_at,variant_product_id,variant_option1,variant_option2,variant_option3,image_id,image_position,image_created_at,image_updated_at,image_product_id,image_src,image_variant_ids,image_width,image_height,option_name,option_position,option_values
6.72594E+12,GRIN Sesame Street Variety 4-Pack,grin-sesame-street-variety-4-pack,"<p><span>If warm, fresh from the oven cookies are what you crave, we're bringing you our best-selling Chocolate Chip &amp; Birthday Cake flavors for a limited time!</span><br><br><span>We partnered with Sesame Street to create </span><strong>all new</strong><span> Cookie Baking Mixes that are easy to prepare and made to share—just add water and butter (or applesauce) to the mix.  These <strong data-mce-fragment=""1"">Limited Edition</strong> Cookie Baking Mixes are the ideal sometimes treat and feature our furry friends from Sesame Street, Elmo and Cookie Monster. Like all Partake products, our Cookie Baking Mixes are certified gluten-free, vegan, non-GMO, and top 9 allergen-free.</span></p>
<p data-pm-slice=""1 1 []"">TM / © 2022 Sesame Workshop.</p>",2022-06-24T09:52:07-04:00,2022-09-28T11:19:15-04:00,Partake Foods,Baking Mix,3.98351E+13,Default Title,32,99-1048,1,468,,TRUE,FALSE,,TRUE,2022-06-24T09:52:07-04:00,2022-07-07T10:23:40-04:00,6.72594E+12,Default Title,,,2.86186E+13,1,2022-06-24T09:52:47-04:00,2022-06-24T09:52:48-04:00,6.72594E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Untitleddesign_90_a6b3b5a5-2362-430a-9408-7bb764829ca0.png?v=1656078768,[],2400,2400,Title,1,['Default Title']
6.72594E+12,GRIN Sesame Street Variety 2-Pack,grin-sesame-street-variety-2-pack,"<p><span>If warm, fresh from the oven cookies are what you crave, we're bringing you our best-selling Chocolate Chip &amp; Birthday Cake flavors for a limited time!</span><br><br><span>We partnered with Sesame Street to create </span><strong>all new</strong><span> Cookie Baking Mixes that are easy to prepare and made to share—just add water and butter (or applesauce) to the mix.  These <strong data-mce-fragment=""1"">Limited Edition</strong> Cookie Baking Mixes are the ideal sometimes treat and feature our furry friends from Sesame Street, Elmo and Cookie Monster. Like all Partake products, our Cookie Baking Mixes are certified gluten-free, vegan, non-GMO, and top 9 allergen-free.</span></p>
<p data-pm-slice=""1 1 []"">TM / © 2022 Sesame Workshop.</p>",2022-06-24T09:46:13-04:00,2022-09-28T11:18:54-04:00,Partake Foods,Baking Mix,3.98351E+13,Default Title,16,99-1047,1,468,,TRUE,FALSE,,TRUE,2022-06-24T09:46:14-04:00,2022-08-18T10:13:25-04:00,6.72594E+12,Default Title,,,2.86185E+13,1,2022-06-24T09:46:47-04:00,2022-06-24T09:46:48-04:00,6.72594E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Untitleddesign_90_7a039b1f-8006-498d-9336-795d56d2996a.png?v=1656078408,[],2400,2400,Title,1,['Default Title']
6.72594E+12,GRIN Birthday Cake Cookie Baking Mix,grin-birthday-cake-cookie-baking-mix,"<p><span>Celebrate our new, <strong>Limited Edition</strong> Birthday Cake Cookie Baking Mix by baking up a batch right in the comfort of your home. This <strong>Limited Edition</strong> Cookie Baking Mix features our furry friend from Sesame Street, Elmo. By just adding water and butter (or applesauce), make these warm and fresh cookies are the ideal sometimes treat. As always, Partake products are certified gluten-free, vegan, non-GMO, and top 9 allergen-free.</span></p>
<p data-pm-slice=""1 1 []"">TM / © 2022 Sesame Workshop.</p>",2022-06-24T09:40:00-04:00,2022-09-28T11:17:19-04:00,Partake Foods,Baking Mix,3.98351E+13,Default Title,8,99-1045,1,468,,TRUE,FALSE,,TRUE,2022-06-24T09:40:01-04:00,2022-06-24T09:44:43-04:00,6.72594E+12,Default Title,,,2.86185E+13,1,2022-06-24T09:41:27-04:00,2022-06-24T09:41:28-04:00,6.72594E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SS_BC_2400x2400_45angle_1_4d0acc89-118c-4ebf-b2e0-f2881f57ba7b.png?v=1656078088,[],2400,2400,Title,1,['Default Title']
6.72594E+12,GRIN Chocolate Chip Cookie Baking Mix,grin-chocolate-chip-cookie-baking-mix,"<p><span>Bake our best-selling Chocolate Chip cookies in your home with our new,<strong> Limited Edition</strong> Chocolate Chip Cookie Baking Mix! This <strong data-mce-fragment=""1"">Limited Edition</strong> Cookie Baking Mix features our furry friend from Sesame Street, Cookie Monster, and is the ideal sometimes treat. Made to share and easy to prepare, just add water and butter (or applesauce) to the mix. Partake products are certified gluten-free, vegan, non-GMO, and top 9 allergen-free.</span></p>
<p data-pm-slice=""1 1 []"">TM / © 2022 Sesame Workshop.</p>",2022-06-24T09:32:21-04:00,2022-09-28T11:17:45-04:00,Partake Foods,Baking Mix,3.98351E+13,Default Title,8,99-1046,1,468,,TRUE,FALSE,,TRUE,2022-06-24T09:32:21-04:00,2022-08-23T15:06:26-04:00,6.72594E+12,Default Title,,,2.86185E+13,1,2022-06-24T09:33:22-04:00,2022-06-24T09:33:24-04:00,6.72594E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SS_CC_2400x2400_45angle_1_38532506-268f-42ef-a070-683ed502a02c.png?v=1656077604,[],2400,2400,Title,1,['Default Title']
6.72594E+12,GRIN Crunchy Chocolate Chip Mini Cookies - 10 Snack Packs,grin-crunchy-chocolate-chip-mini-cookie-snack-packs,"<p><span data-mce-fragment=""1"">It's our best-seller in a new *</span><strong data-mce-fragment=""1"">mini</strong><span data-mce-fragment=""1"">* size! Our Crunchy Chocolate Chip Mini Cookie Snack Packs bring the same big chocolate chip flavor you already know and love in a bite-sized form. Ideal for grab-and-go, these vegan, allergy-friendly &amp; non-GMO Mini Chocolate Chip cookies will go the distance to keep you satisfied.</span></p>",2022-06-24T09:21:01-04:00,2022-09-07T13:58:37-04:00,Partake Foods,Cookies,3.98351E+13,Default Title,10,99-1044,1,468,,TRUE,FALSE,,TRUE,2022-06-24T09:27:49-04:00,2022-08-23T15:06:26-04:00,6.72594E+12,Default Title,,,2.86185E+13,1,2022-06-24T09:27:44-04:00,2022-06-24T09:27:47-04:00,6.72594E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SL2A6805-Edit_1_86775583-93dd-4533-812f-72b1c32d5664.png?v=1656077267,[],3648,4557,Title,1,['Default Title']
6.70982E+12,Chocolate Chip Cookie Mix,chocolate-chip-cookie-baking-mix-2,"<p><span data-mce-fragment=""1"">Bake our best-selling cookies with our new cookie baking mix. </span>TM / © 2022 Sesame Workshop.</p>",2022-05-13T10:31:24-04:00,2022-09-30T20:02:27-04:00,Partake Foods,BYO,3.97813E+13,Default Title,8,52826-9,1,0,,TRUE,TRUE,,TRUE,2022-05-13T10:31:24-04:00,2022-09-30T19:57:55-04:00,6.70982E+12,Default Title,,,2.85563E+13,1,2022-05-13T10:34:10-04:00,2022-05-13T10:34:11-04:00,6.70982E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SS_CC_2400x2400_45angle_3.png?v=1652452451,[],2400,2400,Title,1,['Default Title']
6.70983E+12,Birthday Cake Cookie Mix,birthday-cake-cookie-baking-mix-3,"<p><span data-mce-fragment=""1"">Bake our best-selling cookies with our new cookie baking mix. </span>TM / © 2022 Sesame Workshop.</p>",2022-05-13T10:38:06-04:00,2022-09-30T20:02:27-04:00,Partake Foods,BYO,3.97813E+13,Default Title,8,52825-2,1,0,,TRUE,TRUE,,TRUE,2022-05-13T10:38:06-04:00,2022-09-30T19:57:55-04:00,6.70983E+12,Default Title,,,2.85563E+13,1,2022-05-13T10:38:49-04:00,2022-05-13T10:38:51-04:00,6.70983E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SS_BC_2400x2400_45angle_3.png?v=1652452731,[],2400,2400,Title,1,['Default Title']
6.70411E+12,Snack Pack - Soft Baked Double Chocolate Brownie (24 ct),snack-pack-soft-baked-double-chocolate-brownie-24-ct,"<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span data-sheets-userformat='{""2"":15107,""3"":{""1"":0},""4"":{""1"":2,""2"":16382200},""11"":4,""12"":0,""14"":{""1"":2,""2"":1974049},""15"":""-apple-system, \""system-ui\"", \""Segoe UI\"", Roboto, \""Helvetica Neue\"", Helvetica, Arial, sans-serif"",""16"":11}' data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Double the chocolate, double the love. These travel-friendly snack packs bring you the crave-worthy taste and texture of a brownie in cookie form—all while being vegan, allergy-friendly, and non-GMO. They're a treat you'll want to eat again and again.&quot;}"">Double the chocolate, double the love. These travel-friendly snack packs bring you the crave-worthy taste and texture of a brownie in cookie form—all while being vegan, allergy-friendly, and non-GMO. They're a treat you'll want to eat again and again.</span><br><meta charset=""utf-8""></p>",2022-04-28T10:29:10-04:00,2022-09-29T10:12:12-04:00,Partake Foods,Finished Goods,3.97612E+13,24 Pack,34.99,00760-9,1,936,,TRUE,TRUE,,TRUE,2022-04-28T10:29:10-04:00,2022-09-29T10:05:06-04:00,6.70411E+12,24 Pack,,,2.85501E+13,3,2022-05-10T09:24:18-04:00,2022-05-10T09:24:21-04:00,6.70411E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SBDCtransparentBOP.png?v=1652189061,[],1080,1350,Size,1,['24 Pack']
6.67947E+12,Birthday Cake Cookie Baking Mix,birthday-cake-cookie-baking-mix,"<p><span>Celebrate our new, <strong>Limited Edition</strong> Birthday Cake Cookie Baking Mix by baking up a batch right in the comfort of your home. This <strong>Limited Edition</strong> Cookie Baking Mix features our furry friend from Sesame Street, Elmo. By just adding water and butter (or applesauce!), make these warm and fresh cookies the ideal sometimes treat. As always, Partake products are certified gluten-free, vegan, non-GMO, and top 9 allergen-free.</span></p>
<p data-pm-slice=""1 1 []"">TM / © 2022 Sesame Workshop.</p>",2022-03-24T14:17:04-04:00,2022-09-28T11:15:45-04:00,Partake Foods,Baking Mix,3.96741E+13,4 Pack,29.99,40-28252,2,468,,TRUE,FALSE,,TRUE,2022-03-24T14:20:13-04:00,2022-07-28T16:42:03-04:00,6.67947E+12,4 Pack,,,2.84838E+13,3,2022-04-01T14:57:37-04:00,2022-04-11T15:12:16-04:00,6.67947E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_BC_SesameStreet_Backcopy.jpg?v=1649704336,[],1592,2159,Size,1,"['2 Pack', '4 Pack']"
6.6795E+12,Variety Pack Cookie Baking Mix,cookie-baking-mix-variety-pack,"<p><span>If warm, fresh from the oven cookies are what you crave, we're bringing you our best-selling Chocolate Chip &amp; Birthday Cake flavors for a limited time!</span><br><br><span>We partnered with Sesame Street to create </span><strong>all new</strong><span> Cookie Baking Mixes that are easy to prepare and made to share—just add water and butter (or applesauce) to the mix.  These <strong data-mce-fragment=""1"">Limited Edition</strong> Cookie Baking Mixes are the ideal sometimes treat and feature our furry friends from Sesame Street, Elmo and Cookie Monster. Like all Partake products, our Cookie Baking Mixes are certified gluten-free, vegan, non-GMO, and top 9 allergen-free.</span></p>
<p data-pm-slice=""1 1 []"">TM / © 2022 Sesame Workshop.</p>",2022-03-24T14:41:22-04:00,2022-09-28T11:18:35-04:00,Partake Foods,Baking Mix,3.96741E+13,4 Pack,29.99,99-01025,2,468,,TRUE,FALSE,,TRUE,2022-03-24T14:41:22-04:00,2022-09-26T13:13:05-04:00,6.6795E+12,4 Pack,,,2.85253E+13,1,2022-04-22T14:28:31-04:00,2022-04-22T14:28:33-04:00,6.6795E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Untitleddesign_90.png?v=1650652113,[],2400,2400,Size,1,"['2 Pack', '4 Pack']"
